carbohydrate,protein,fat,salt
95.37,10.09,1.5,180
76.84,14.47,0.45,607
89.48,7.14,0.41,535
80.14,6.53,0.25,988
34.112,3.661,0.454,177
98.9,10.3,0.9,701
58.6,27.6,2.7,1030
78.747,17.433,0.652,674
74.7,66.4,8.4,428
73.947,26.962,3.395,321
90.7,16.6,2.4,509
54.3,9,1.1,4
128.6,14.8,1.5,489
81.778,14.614,0.346,769
98.7,24.6,3.9,1017
85.754,26.237,6.333,120
78.422,16.804,0.553,191
96.281,14.467,3.407,832
61.451,9.616,2.791,301
77.547,27.069,1.056,637
76.431,25.423,1.512,319
42.6,21.8,2.3,598
62.518,15.978,2.526,257
95.601,18.214,2.788,708
32.547,3.998,0.53,34
80.2,11.9,2.4,934
74.318,18.571,2.828,85
71.037,18.883,1.835,939
82.321,11.952,0.423,621
120.057,15.236,8.557,423
104.937,44.12,4.066,849
97.351,30.088,5.178,821
80.681,16.52,2.912,587
102.931,29.201,3.407,106
31.953,3.941,0.596,24
109.156,23.425,1.097,453
89.227,12.33,2.138,526
77.923,13.712,0.45,578
100.449,42.037,5.408,179
90.459,25.105,5.38,795
103.3,30.21,2.897,580
103.3,8,0,891
90.459,15,4,360
95.37,4.82,1.79,185
8.55,21.3,10.35,284
1.43,27.14,14.64,580
6,18,8.4,887
1.07,32.14,11.07,716
4.29,21.43,12.86,553
3,19.5,13.5,595
4.5,24,13.5,1026
3,9,8.7,348
3,18,15,724
1.5,19.5,19.5,743
0.6,1.8,1.35,419
3,19.5,16.5,873
3,15,16.5,999
3,18,21,563
6,15,12,717
4.5,18,12,874
3,9,8.7,931
1.5,19.5,40.5,239
13.5,21,24,854
1.5,19.5,40.5,959
3,36,0,583
19.5,24,127.5,233
7.5,21,54,711
3,22.5,36,214
3,10.5,1.91,593
1.5,19.5,40.5,365
5,35,23.5,307
6,27,1.65,617
1.76,29.12,18.53,172
13.5,21,24,48
5,25,35,322
1.05,19.5,40.5,887
19.5,24,37.5,662
10.5,24,42,527
10.5,24,15,650
7.5,28.5,19.5,642
1.5,19.5,40.5,559
4.5,40.5,0,403
15,21,46.5,855
5.81,29.04,9.2,560
4.5,28.5,7.5,140
12,42,7.65,570
4,32,10,409
1.5,19.5,40.5,41
1.5,25.5,40.5,1030
3,31.5,18,953
4.5,25.5,18,340
0,25,45,498
4.5,33,6.75,970
1.5,22.5,37.5,845
4.5,27,10.5,266
0,22.5,36,573
0,25.56,0,582
6,21,36,946
3,28.5,21,720
1.05,19.5,40.5,933
1.05,25.5,31.5,477
0,42,3,717
3,36,2.1,218
3,27,25.5,385
19.5,24,37.5,239
10.5,24,42,896
3.15,23.7,40.8,140
9.38,30,22.5,930
1.05,19.5,40.5,67
3,22.5,36,636
1.5,19.5,40.5,451
5,35,0,11
4.5,26.55,14.55,146
3,37.5,2.1,121
7.5,21,54,445
8.75,12.5,36.25,226
1.46,36.78,2.64,37
0.26,41.37,2.07,944
0.56,44.58,2.87,813
15,24,19.5,1060
1.05,40.5,1.5,1090
3,30,21,1082
15,24,19.5,239
6,33,16.5,97
13.5,21,24,734
6,37.5,0,669
10.5,25.5,13.5,56
0,45,1.95,281
3,46.5,2.25,1016
0,35,0,77
4.5,27,27,859
5.63,31.88,2.25,124
1.5,22.5,37.5,653
1.05,31.5,1.65,204
5,40,12.5,845
1.5,36,1.35,710
6,22.5,142.5,913
7.5,24,30,954
3,27,25.5,1071
15,22.5,27,199
2.07,38.04,1.76,713
1.64,34.36,10.91,378
1.5,22.5,37.5,344
25.5,24,16.5,24
6.75,23.55,22.5,884
15,24,19.5,366
40.5,3,21,269
1.11,37.94,1.22,154
25.5,23.4,17.85,286
19.5,19.5,34.5,890
5,25,30,704
2.81,29.06,36.56,514
9,21,37.5,640
15,21,46.5,412
14.48,28.2,76.05,833
22.5,22.5,60,973
1.29,38.76,1.61,984
1.04,38.54,2.55,829
0.35,43.91,2.28,1055
12,21,39,30
15,25.5,2.25,351
12,25.5,24,641
0,22.5,10.5,161
4.5,24,34.5,932
3.25,22,18.5,97
1.5,57,39,838
5,20,25,568
5,25,40,10
3,22.5,36,156
19.5,24,37.5,372
4.34,36.84,2.33,66
6,22.5,46.5,745
12.45,22.2,21.6,683
6,31.5,1.35,865
9,21,37.5,44
14.25,28.5,13.5,922
1.5,22.5,37.5,206
3,31.5,13.5,977
0.15,37.2,1.95,675
4.5,28.5,16.5,227
3.75,36,36,789
1.35,40.5,40.5,16
1.8,22.5,39,283
19.5,24,37.5,280
7.5,22.5,30,615
12,31.5,14.25,314
0,35,2.5,1069
9,21,37.5,471
4.5,24,33,545
7.5,21,55.5,472
4.5,19.5,48,84
0.38,45.11,2.07,1005
7.5,33,1.2,774
3.75,26.7,23.4,925
1.35,40.5,1.2,1013
3.5,30,5,128
4.82,40.08,2.25,598
1.19,40.49,2.81,178
0,40,4.5,636
3,31.85,1.82,1065
4.5,30,16.5,985
5.69,38.85,2.46,700
1.5,40.5,2.25,522
4.5,30,9,562
1.5,37.5,3.3,665
3,28.5,18,567
0,40,4,206
3.5,25,19,350
3,31.5,4.2,105
2.14,36.43,5.14,172
5.36,37.5,1.18,282
2.14,36.43,1.18,663
7.5,35.36,1.18,746
5.36,35.36,2.14,623
3.21,37.5,1.82,366
2.31,35.77,1.15,607
3.46,40.38,3.46,827
0,36.92,0.92,850
0.81,33.46,5.08,831
1.65,26.25,25.5,363
7.8,21,59.1,1089
3.46,36.92,3.69,474
3.46,40.38,3.46,665
11.25,31.88,1.5,165
13.13,30,1.31,710
1.69,26.25,25.5,474
4.95,25.47,33.25,81
2.73,38.18,1.23,138
2.73,35.45,1.23,70
0,24,1.35,965
1.76,29.12,18.53,147
6,27,1.65,887
