carbohydrate,protein,fat,salt
5,0.9,0.7,309
16.9,1.59,0.06,36
33.21,0.18,0.02,544
34.11,0.02,0,309
12.6,0.4,0.4,363
11.97,0.46,0.13,298
85.73,0.25,0.58,915
13.52,0,0.1,742
14.8,0.8,1,122
13.73,0.77,0.26,453
16.08,0.93,0.63,170
49.68,0.25,0,498
18.5,1.3,1.5,537
14.32,0.46,0.04,573
19.18,0.31,0.04,580
18.81,0.13,0,521
17.4,0.3,0,953
12.87,0.36,0.12,360
11.52,0.39,0.03,169
9.8,0.7,0.1,424
7.03,0.38,0.04,138
10.47,0.65,0.07,949
9.95,0.75,0.09,1086
4.83,0.52,0.07,1073
22.58,1.68,1.55,1085
16.2,0.8,0.4,451
14.45,0.67,0.18,621
13.6,0.39,0.05,16
78.89,2.64,0.53,1015
17.12,0.14,0.02,149
18.25,0.59,0.05,61
13.59,0.61,0.05,529
15.01,0.71,0.13,1059
12.63,0.41,0.03,747
12.1,0.42,0.03,796
16.2,0.2,0,731
72.6,0.28,0.03,186
12.92,0.24,0,240
14.77,0.37,0.13,837
12.1,0.3,0.3,783
14.5,0.3,0.2,250
14.03,0.23,0.01,282
12.62,0.66,0.01,272
9.97,0.61,1.05,610
19.3,0.2,0.4,285
18.52,0.19,0.03,848
11.97,0,0,44
24.9,3.62,3.77,318
33,10,4.2,124
34,10,3.7,741
66.2,8.7,10.1,19
70.1,6.8,11.8,1080
12.9,22.2,29.4,789
62,9.9,24,88
66,8.5,22,212
22,3,7,571
20,4,8,971
22,3.3,12.8,742
23,6.5,4.8,816
26,7,7,595
22,5,6.9,740
26,7,7,136
23,11,11,247
24,2,2.6,564
31.2,3.2,3,555
24,2.4,1.8,891
22,2,4.2,419
24,2,2.3,492
24,2.3,2.4,612
29,7,7,1012
80.93,5.56,9.75,189
84.66,5.81,3.65,679
4.8,0.9,1.8,683
4.8,0.9,1.8,589
4.8,0.9,2.1,809
5.1,0.9,1.2,371
6.84,0.72,1.08,868
6.21,0.86,1.29,900
6.43,1.07,1.5,1055
6.22,0.98,1.15,743
7.29,0.49,0.61,870
20,5,4.8,465
12,12,14,240
9,10,11,719
1.2,1.2,1.35,792
7.87,6.2,5.31,1094
77.65,37.38,24.58,216
73.02,30.25,22.94,829
10.82,6.81,7.42,173
48,18,13,493
40,15,11,183
36,14,10,794
47,22,15,65
40,19,13,407
36,16,12,230
50,26,18,439
44,23,15,25
38,20,13,828
50,24,15,801
43,21,13,605
37,18,11,900
9,1,0.7,466
